expt,volume,day,pmutS,medium,wells
twodrug,1,1,0,MH,ALL
twodrug,1,1,0,nal,0
twodrug,1,1,0,rif,B3;B5;D6;J4;J6
twodrug,1,1,0,nal+rif,0
twodrug,1,1,10,MH,ALL
twodrug,1,1,10,nal,0
twodrug,1,1,10,rif,B6;C6;D5
twodrug,1,1,10,nal+rif,0
twodrug,1,1,25,MH,ALL
twodrug,1,1,25,nal,0
twodrug,1,1,25,rif,F3;K5;K7
twodrug,1,1,25,nal+rif,0
twodrug,1,1,50,MH,ALL
twodrug,1,1,50,nal,0
twodrug,1,1,50,rif,B2;C2;D4;F2
twodrug,1,1,50,nal+rif,0
twodrug,1,2,0,MH,ALL
twodrug,1,2,0,nal,0
twodrug,1,2,0,rif,C3;C4;J6;J7;K5
twodrug,1,2,0,nal+rif,0
twodrug,1,2,10,MH,ALL
twodrug,1,2,10,nal,K2
twodrug,1,2,10,rif,E3;F6;H2;I3;K4
twodrug,1,2,10,nal+rif,0
twodrug,1,2,25,MH,ALL
twodrug,1,2,25,nal,J6
twodrug,1,2,25,rif,B3;B4;D7;E2;F4;F6;F7;H4;H5;K3;K4
twodrug,1,2,25,nal+rif,0
twodrug,1,2,50,MH,ALL
twodrug,1,2,50,nal,E4
twodrug,1,2,50,rif,C6;C7;D3;D4;D6;D7;F3;F7;H3;I5;J4;J5
twodrug,1,2,50,nal+rif,0
twodrug,1,3,0,MH,ALL
twodrug,1,3,0,nal,0
twodrug,1,3,0,rif,0
twodrug,1,3,0,nal+rif,0
twodrug,1,3,10,MH,ALL
twodrug,1,3,10,nal,K6
twodrug,1,3,10,rif,B7;C7;D4;E2;F6;F7;G4;I2;I4;K2;K6
twodrug,1,3,10,nal+rif,0
twodrug,1,3,25,MH,ALL
twodrug,1,3,25,nal,E2;G2;G4;I4;J6;K5
twodrug,1,3,25,rif,B6;C2;F7;G2;I7;J3;J4;K5
twodrug,1,3,25,nal+rif,0
twodrug,1,3,50,MH,ALL
twodrug,1,3,50,nal,B3;B7;C2;C3;D2;D5;D6;E2;E3;H3;H4;I2;I5;K3
twodrug,1,3,50,rif,B3;B4;B5;B6;B7;C3;C6;D2;D5;E2;E7;F2;F4;F6;F7;G2;G4;G7;H2;H3;H4;H6;H7;I2;I3;I4;I5;J2;J3;J4;J5;K3;K4;K7
twodrug,1,3,50,nal+rif,0
twodrug,1,4,0,MH,-C6;D7;F7;G7;H6;H7;I6;J6
twodrug,1,4,0,nal,0
twodrug,1,4,0,rif,0
twodrug,1,4,0,nal+rif,0
twodrug,1,4,10,MH,-B3;C3;C6;D3;D5;I3;J3;J4;K4
twodrug,1,4,10,nal,B6;B7;C7;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,4,10,rif,B7;C7;D4;E2;F6;G6;H4;H5;I2;I4;J5;K2
twodrug,1,4,10,nal+rif,C7;H4
twodrug,1,4,25,MH,-E5;F7
twodrug,1,4,25,nal,B4;B6;C2;C5;C7;D2;E2;F6;G2;G3;G4;I7;J3;J4;J5;K3;K5
twodrug,1,4,25,rif,B5;B6;C2;C5;D2;E2;F6;G2;G3;G4;G5;H6;I7;J3;J4;J5;K3;K5
twodrug,1,4,25,nal+rif,G4;K5
twodrug,1,4,50,MH,ALL
twodrug,1,4,50,nal,B2;B3;B4;B5;B6;B7;C2;C3;C4;C6;C7;D2;D4;D5;D6;D7;E2;E4;E6;E7;F2;F4;F6;F7;G2;G4;G6;H2;H4;H5;H6;H7;I2;I3;I4;I5;I6;J2;J3;J4;J5;J7;K2;K3;K4;K7
twodrug,1,4,50,rif,-C5;C7;D3;D5;F3;F5;G3;I7;K5
twodrug,1,4,50,nal+rif,D4;K4;I5;K3
twodrug,1,5,0,MH,D5;G5;K5
twodrug,1,5,0,nal,0
twodrug,1,5,0,rif,0
twodrug,1,5,0,nal+rif,0
twodrug,1,5,10,MH,B6;B7;C7;D4;E2;E4;E7;F2;F5;F6;G4;G6;G7;H4;H5;I2;I4;J2;J5;K2;K5;K6
twodrug,1,5,10,nal,B6;B7;C7;D4;E2;F2;F6;G4;G6;G7;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,5,10,rif,B6;B7;C7;D4;E2;F2;F6;G4;G6;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,5,10,nal+rif,B7;C7;D4;F6;G4;G6;H4;I2;I4;J5;K2;K5;K6
twodrug,1,5,25,MH,B4;B5;B6;B7;C2;C3;C4;C5;C7;D2;E2;F6;G2;G3;G4;G5;I5;I7;J3;J4;J5;K3;K5
twodrug,1,5,25,nal,B4;B6;B7;C2;C5;C7;D2;E2;F6;G2;G3;G4;I7;J3;J4;J5;K3;K5
twodrug,1,5,25,rif,B4;B5;B6;B7;C2;C5;C7;E2;F6;G2;G4;I7;J3;J4;K3;K5
twodrug,1,5,25,nal+rif,B5;B6;C5;C7;E2;F6;G2;G4;I7;J3;J4;K3;K5
twodrug,1,5,50,MH,-D3;E4;E5;F3;F5
twodrug,1,5,50,nal,-C5;C7;D3;E4;E5;F3;F5;G3;G5;I7;K4;K5
twodrug,1,5,50,rif,-B4;B7;C4;C5;C7;D3;E2;E4;E5;F3;F5;G3;G5;G6;I7;J4;J6;K4;K5;K6
twodrug,1,5,50,nal+rif,B2;B3;B5;B6;B7;C2;C3;C6;D2;D4;D5;D6;D7;E3;E6;E7;F2;F6;G2;G4;G7;H2;H3;H4;H6;I3;I4;I5;J2;J3;J5;J7;K3;K7
twodrug,1,6,0,MH,0
twodrug,1,6,0,nal,0
