expt,volume,day,pmutS,medium,wells
nodrug,1,1,0,MH,ALL
nodrug,1,1,0,nal,0
nodrug,1,1,0,rif,0
nodrug,1,1,0,nal+rif,0
nodrug,1,1,10,MH,ALL
nodrug,1,1,10,nal,0
nodrug,1,1,10,rif,C4;B4;B7;D3;F6;E6;G5;I3;K6
nodrug,1,1,10,nal+rif,0
nodrug,1,1,25,MH,ALL
nodrug,1,1,25,nal,K6
nodrug,1,1,25,rif,B5;B7;E2;E3;C7;D3;D4;D7;E4;E6;G5;G6;J2;I5;I7;K3
nodrug,1,1,25,nal+rif,0
nodrug,1,1,50,MH,ALL
nodrug,1,1,50,nal,E2
nodrug,1,1,50,rif,C4;B3;B5;E2;D3;D5;D6;D7;F6;E4;E5;E6;E7;F3;H4;G4;G5;G6;G7;H2;H3;J2;H7;I2;I3;I6;K6;J4;J6;J7;K4
nodrug,1,1,50,nal+rif,0
nodrug,1,2,0,MH,ALL
nodrug,1,2,0,nal,0
nodrug,1,2,0,rif,F4;K2
nodrug,1,2,0,nal+rif,0
nodrug,1,2,10,MH,ALL
nodrug,1,2,10,nal,0
nodrug,1,2,10,rif,F3;H4;I2
nodrug,1,2,10,nal+rif,0
nodrug,1,2,25,MH,ALL
nodrug,1,2,25,nal,0
nodrug,1,2,25,rif,E2;D3;H7;I2;J7
nodrug,1,2,25,nal+rif,0
nodrug,1,2,50,MH,ALL
nodrug,1,2,50,nal,0
nodrug,1,2,50,rif,B2;B5;E3;D2;D3;D4;E5;E7;H4;G7;H2;J2;I3;I6;K7
nodrug,1,2,50,nal+rif,0
nodrug,1,3,0,MH,ALL
nodrug,1,3,0,nal,0
nodrug,1,3,0,rif,0
nodrug,1,3,0,nal+rif,0
nodrug,1,3,10,MH,ALL
nodrug,1,3,10,nal,0
nodrug,1,3,10,rif,E2;G4
nodrug,1,3,10,nal+rif,0
nodrug,1,3,25,MH,ALL
nodrug,1,3,25,nal,J7
nodrug,1,3,25,rif,G7;J2;I2;J7
nodrug,1,3,25,nal+rif,0
nodrug,1,3,50,MH,ALL
nodrug,1,3,50,nal,D2;I7;K5
nodrug,1,3,50,rif,H3;J2;H6;H7
nodrug,1,3,50,nal+rif,0
nodrug,1,4,0,MH,ALL
nodrug,1,4,0,nal,0
nodrug,1,4,0,rif,0
nodrug,1,4,0,nal+rif,0
nodrug,1,4,10,MH,ALL
nodrug,1,4,10,nal,F3;H4;I2
nodrug,1,4,10,rif,C2;F5
nodrug,1,4,10,nal+rif,0
nodrug,1,4,25,MH,ALL
nodrug,1,4,25,nal,E7;F4;F5;J7
nodrug,1,4,25,rif,C5;C3;E2;C6;C7;D5;E7;F2;J3;H6;H7;J7;K5
nodrug,1,4,25,nal+rif,0
nodrug,1,4,50,MH,ALL
nodrug,1,4,50,nal,D3;D4
nodrug,1,4,50,rif,C5;B4;D7;E7;F2;F3;G2;G4;H2;J3;H6;H7;I2;J6;K4;K5
nodrug,1,4,50,nal+rif,0
nodrug,1,5,0,MH,ALL
nodrug,1,5,0,nal,0
nodrug,1,5,0,rif,0
nodrug,1,5,0,nal+rif,0
nodrug,1,5,10,MH,ALL
nodrug,1,5,10,nal,B2
nodrug,1,5,10,rif,B6;C6;F6;E5;F2;G2;J3
nodrug,1,5,10,nal+rif,0
nodrug,1,5,25,MH,ALL
nodrug,1,5,25,nal,J3;I5;J7
nodrug,1,5,25,rif,B5;C7;F3;H4;G6;G7;H3;J2;J3;H6;H7;I5
nodrug,1,5,25,nal+rif,0
nodrug,1,5,50,MH,ALL
nodrug,1,5,50,nal,C4;B4;E2;D4;D6;D7;F4;H5;G2;G3;K5
nodrug,1,5,50,rif,B4;B5;E2;D4;D5;D6;D7;F6;F7;E4;E6;E7;F2;F3;H4;H5;G2;G4;G7;H2;H3;J3;H6;I5;I7;K6;J4;J5;J6;J7;K3
nodrug,1,5,50,nal+rif,0
nodrug,1,6,0,MH,ALL
nodrug,1,6,0,nal,0
nodrug,1,6,0,rif,J4
nodrug,1,6,0,nal+rif,0
nodrug,1,6,10,MH,ALL
nodrug,1,6,10,nal,B6;C6;D2;D6
nodrug,1,6,10,rif,C5;B2;B6;C3;C6;D5;D6;D7;E6;F2;F4;H2;I3;J4;K2
nodrug,1,6,10,nal+rif,0
nodrug,1,6,25,MH,ALL
nodrug,1,6,25,nal,B5;D2;D3;F2;F4;G7;J2;I2;I6;K6;J7;K2
nodrug,1,6,25,rif,B4;B5;B7;E2;C6;D6;E5;E7;F2;F3;F5;H4;G2;G6;G7;H3;H6;I2;I3;I5;I6;J5;J7
nodrug,1,6,25,nal+rif,0
nodrug,1,6,50,MH,ALL
nodrug,1,6,50,nal,B2;B4;C2;E2;D4;D7;E7;H4;G2;G3;G4;G5;H2;J3;J6;K5
nodrug,1,6,50,rif,C5;B2;B4;B7;C2;C6;C7;D2;D4;D6;D7;F6;E4;E6;E7;F3;F4;H4;H5;G2;G3;G4;G7;H3;J3;H6;H7;I2;I4;I5;I7;K6;K7;J4;J6;J7;K2;K3;K4;K5
nodrug,1,6,50,nal+rif,0
