antibiotic,day,parameter,value
combination,1,k1_error_L_A,0.389271
combination,1,k1_error_L_B,0.348689
combination,1,k1_error_L_D,0.340798
combination,1,k1_error_L_S,0.326247
combination,1,k1_error_U_A,0.408868
combination,1,k1_error_U_B,0.401292
combination,1,k1_error_U_D,0.416926
combination,1,k1_error_U_S,0.403436
combination,1,k2_error_L_A,0.873667
combination,1,k2_error_L_B,0.689166
combination,1,k2_error_L_D,0.824678
combination,1,k2_error_L_S,0.697831
combination,1,k2_error_U_A,0.955298
combination,1,k2_error_U_B,0.707488
combination,1,k2_error_U_D,0.878047
combination,1,k2_error_U_S,0.721393
combination,1,kA1,0.39907
combination,1,kA2,0.914482
combination,1,kB1,0.374991
combination,1,kB2,0.698327
combination,1,kD1,0.378862
combination,1,kD2,0.851363
combination,1,kS1,0.364842
combination,1,kS2,0.709612
combination,1,n0A,0.394726
combination,1,n0B,0.34323
combination,1,n0D,0.34467
combination,1,n0S,0.320331
combination,1,r1_error_L_A,0.918248
combination,1,r1_error_L_B,1.00316
combination,1,r1_error_L_D,0.897207
combination,1,r1_error_L_S,0.911901
combination,1,r1_error_U_A,1.06489
combination,1,r1_error_U_B,1.27612
combination,1,r1_error_U_D,1.16643
combination,1,r1_error_U_S,1.26231
combination,1,r2_error_L_A,0.100376
combination,1,r2_error_L_B,0.176919
combination,1,r2_error_L_D,0.114849
combination,1,r2_error_L_S,0.184278
combination,1,r2_error_U_A,0.120816
combination,1,r2_error_U_B,0.202503
combination,1,r2_error_U_D,0.132247
combination,1,r2_error_U_S,0.215614
combination,1,rA1,0.991571
combination,1,rA2,0.110596
combination,1,rB1,1.13964
combination,1,rB2,0.189711
combination,1,rD1,1.03182
combination,1,rD2,0.123548
combination,1,rS1,1.0871
combination,1,rS2,0.199946
combination,2,k1_error_L_A,0.282806
combination,2,k1_error_L_B,0.31836
combination,2,k1_error_L_D,0.352049
combination,2,k1_error_L_S,0.250765
combination,2,k1_error_U_A,0.317528
combination,2,k1_error_U_B,0.354706
combination,2,k1_error_U_D,0.37947
combination,2,k1_error_U_S,0.332931
combination,2,k2_error_L_A,0.742667
combination,2,k2_error_L_B,0.453531
combination,2,k2_error_L_D,0.795091
combination,2,k2_error_L_S,0.310995
combination,2,k2_error_U_A,0.83971
combination,2,k2_error_U_B,0.459914
combination,2,k2_error_U_D,0.843558
combination,2,k2_error_U_S,0.315571
combination,2,kA1,0.300167
combination,2,kA2,0.791189
combination,2,kB1,0.336533
combination,2,kB2,0.456723
combination,2,kD1,0.365759
combination,2,kD2,0.819325
combination,2,kS1,0.291848
combination,2,kS2,0.313283
combination,2,n0A,0.263465
combination,2,n0B,0.302008
combination,2,n0D,0.348903
combination,2,n0S,0.212147
combination,2,r1_error_L_A,0.692602
combination,2,r1_error_L_B,0.96357
combination,2,r1_error_L_D,0.903979
combination,2,r1_error_L_S,0.619094
combination,2,r1_error_U_A,0.825358
combination,2,r1_error_U_B,1.16023
combination,2,r1_error_U_D,1.05825
combination,2,r1_error_U_S,0.783513
combination,2,r2_error_L_A,0.0908386
combination,2,r2_error_L_B,0.283422
combination,2,r2_error_L_D,0.111363
combination,2,r2_error_L_S,0.366004
combination,2,r2_error_U_A,0.107191
combination,2,r2_error_U_B,0.351184
combination,2,r2_error_U_D,0.127882
combination,2,r2_error_U_S,0.486534
combination,2,rA1,0.75898
combination,2,rA2,0.0990149
combination,2,rB1,1.0619
combination,2,rB2,0.317303
combination,2,rD1,0.981117
combination,2,rD2,0.119622
combination,2,rS1,0.701303
combination,2,rS2,0.426269
combination,3,k1_error_L_A,0.05
combination,3,k1_error_L_B,0.194668
combination,3,k1_error_L_D,0.354825
combination,3,k1_error_L_S,0.0303119
combination,3,k1_error_U_A,0.05
combination,3,k1_error_U_B,0.212368
combination,3,k1_error_U_D,0.408869
combination,3,k1_error_U_S,0.0389539
combination,3,k2_error_L_A,-0.33125
combination,3,k2_error_L_B,0.258151
combination,3,k2_error_L_D,0.848314
combination,3,k2_error_L_S,0.0152474
combination,3,k2_error_U_A,1.05026
combination,3,k2_error_U_B,0.276736
combination,3,k2_error_U_D,0.918615
combination,3,k2_error_U_S,0.0189242
combination,3,kA1,0.05
combination,3,kA2,0.359507
combination,3,kB1,0.203518
combination,3,kB2,0.267444
combination,3,kD1,0.381847
combination,3,kD2,0.883465
