Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.181,
A,2,Sample X2,0.181,
A,3,Sample X3,0.181,
A,4,Sample X4,0.183,
A,5,Sample X5,0.179,
A,6,Sample X6,0.18,
A,7,Sample X7,0.177,
A,8,Sample X8,0.181,
A,9,Sample X9,0.185,
A,10,Sample X10,0.182,
A,11,Sample X11,0.183,
A,12,Sample X12,0.18,
B,1,Sample X13,0.188,
B,2,Sample X14,0.27,
B,3,Sample X15,0.308,
B,4,Sample X16,0.276,
B,5,Sample X17,0.351,
B,6,Sample X18,0.344,
B,7,Sample X19,0.346,
B,8,Sample X20,0.314,
B,9,Sample X21,0.312,
B,10,Sample X22,0.271,
B,11,Sample X23,0.229,
B,12,Sample X24,0.179,
C,1,Sample X25,0.198,
C,2,Sample X26,0.264,
C,3,Sample X27,0.435,
C,4,Sample X28,0.285,
C,5,Sample X29,0.716,
C,6,Sample X30,0.243,
C,7,Sample X31,0.33,
C,8,Sample X32,0.355,
C,9,Sample X33,0.271,
C,10,Sample X34,0.325,
C,11,Sample X35,0.776,
C,12,Sample X36,0.2,
D,1,Sample X37,0.215,
D,2,Sample X38,0.307,
D,3,Sample X39,0.308,
D,4,Sample X40,0.606,
D,5,Sample X41,0.925,
D,6,Sample X42,0.463,
D,7,Sample X43,0.306,
D,8,Sample X44,0.282,
D,9,Sample X45,0.248,
D,10,Sample X46,0.247,
D,11,Sample X47,0.307,
D,12,Sample X48,0.196,
E,1,Sample X49,0.202,
E,2,Sample X50,0.273,
E,3,Sample X51,0.506,
E,4,Sample X52,0.652,
E,5,Sample X53,0.429,
E,6,Sample X54,0.264,
E,7,Sample X55,0.291,
E,8,Sample X56,0.266,
E,9,Sample X57,0.335,
E,10,Sample X58,0.351,
E,11,Sample X59,0.349,
E,12,Sample X60,0.2,
F,1,Sample X61,0.221,
F,2,Sample X62,0.984,
F,3,Sample X63,0.323,
F,4,Sample X64,0.285,
F,5,Sample X65,0.302,
F,6,Sample X66,0.292,
F,7,Sample X67,0.343,
F,8,Sample X68,0.291,
F,9,Sample X69,0.301,
F,10,Sample X70,0.485,
F,11,Sample X71,0.872,
F,12,Sample X72,0.222,
G,1,Sample X73,0.222,
G,2,Sample X74,0.302,
G,3,Sample X75,0.271,
G,4,Sample X76,0.352,
G,5,Sample X77,0.744,
G,6,Sample X78,0.321,
G,7,Sample X79,1.11,
G,8,Sample X80,0.266,
G,9,Sample X81,0.314,
G,10,Sample X82,0.881,
G,11,Sample X83,0.502,
G,12,Sample X84,0.223,
H,1,Sample X85,0.228,
H,2,Sample X86,0.225,
H,3,Sample X87,0.216,
H,4,Sample X88,0.215,
H,5,Sample X89,0.218,
H,6,Sample X90,0.218,
H,7,Sample X91,0.221,
H,8,Sample X92,0.221,
H,9,Sample X93,0.23,
H,10,Sample X94,0.216,
H,11,Sample X95,0.225,
H,12,Sample X96,0.219,
