Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.169,
A,2,Sample X2,0.169,
A,3,Sample X3,0.169,
A,4,Sample X4,0.169,
A,5,Sample X5,0.168,
A,6,Sample X6,0.167,
A,7,Sample X7,0.17,
A,8,Sample X8,0.171,
A,9,Sample X9,0.168,
A,10,Sample X10,0.171,
A,11,Sample X11,0.175,
A,12,Sample X12,0.18,
B,1,Sample X13,0.176,
B,2,Sample X14,1.363,
B,3,Sample X15,1.361,
B,4,Sample X16,1.305,
B,5,Sample X17,1.317,
B,6,Sample X18,1.332,
B,7,Sample X19,1.313,
B,8,Sample X20,1.335,
B,9,Sample X21,1.251,
B,10,Sample X22,1.31,
B,11,Sample X23,1.389,
B,12,Sample X24,0.174,
C,1,Sample X25,0.181,
C,2,Sample X26,1.333,
C,3,Sample X27,1.287,
C,4,Sample X28,1.273,
C,5,Sample X29,1.262,
C,6,Sample X30,1.265,
C,7,Sample X31,1.234,
C,8,Sample X32,1.312,
C,9,Sample X33,1.296,
C,10,Sample X34,1.234,
C,11,Sample X35,1.287,
C,12,Sample X36,0.19,
D,1,Sample X37,0.19,
D,2,Sample X38,1.329,
D,3,Sample X39,1.312,
D,4,Sample X40,1.278,
D,5,Sample X41,1.313,
D,6,Sample X42,1.252,
D,7,Sample X43,1.309,
D,8,Sample X44,1.331,
D,9,Sample X45,1.266,
D,10,Sample X46,1.301,
D,11,Sample X47,1.289,
D,12,Sample X48,0.183,
E,1,Sample X49,0.184,
E,2,Sample X50,1.309,
E,3,Sample X51,1.319,
E,4,Sample X52,1.259,
E,5,Sample X53,1.313,
E,6,Sample X54,1.311,
E,7,Sample X55,1.293,
E,8,Sample X56,1.313,
E,9,Sample X57,1.331,
E,10,Sample X58,1.348,
E,11,Sample X59,1.343,
E,12,Sample X60,0.189,
F,1,Sample X61,0.2,
F,2,Sample X62,1.351,
F,3,Sample X63,1.348,
F,4,Sample X64,1.342,
F,5,Sample X65,1.317,
F,6,Sample X66,1.274,
F,7,Sample X67,1.337,
F,8,Sample X68,1.337,
F,9,Sample X69,1.296,
F,10,Sample X70,1.335,
F,11,Sample X71,1.328,
F,12,Sample X72,0.207,
G,1,Sample X73,0.207,
G,2,Sample X74,1.352,
G,3,Sample X75,1.314,
G,4,Sample X76,1.337,
G,5,Sample X77,1.33,
G,6,Sample X78,1.302,
G,7,Sample X79,1.341,
G,8,Sample X80,1.33,
G,9,Sample X81,1.339,
G,10,Sample X82,1.363,
G,11,Sample X83,1.357,
G,12,Sample X84,0.207,
H,1,Sample X85,0.201,
H,2,Sample X86,0.2,
H,3,Sample X87,0.195,
H,4,Sample X88,0.199,
H,5,Sample X89,0.197,
H,6,Sample X90,0.193,
H,7,Sample X91,0.197,
H,8,Sample X92,0.2,
H,9,Sample X93,0.199,
H,10,Sample X94,0.201,
H,11,Sample X95,0.207,
H,12,Sample X96,0.208,
