Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.157,
A,2,Sample X2,0.159,
A,3,Sample X3,0.156,
A,4,Sample X4,0.159,
A,5,Sample X5,0.157,
A,6,Sample X6,0.156,
A,7,Sample X7,0.156,
A,8,Sample X8,0.155,
A,9,Sample X9,0.158,
A,10,Sample X10,0.16,
A,11,Sample X11,0.162,
A,12,Sample X12,0.162,
B,1,Sample X13,0.164,
B,2,Sample X14,1.398,
B,3,Sample X15,1.203,
B,4,Sample X16,1.393,
B,5,Sample X17,1.432,
B,6,Sample X18,1.373,
B,7,Sample X19,1.367,
B,8,Sample X20,1.253,
B,9,Sample X21,1.216,
B,10,Sample X22,1.4,
B,11,Sample X23,1.421,
B,12,Sample X24,0.162,
C,1,Sample X25,0.164,
C,2,Sample X26,1.373,
C,3,Sample X27,1.285,
C,4,Sample X28,1.329,
C,5,Sample X29,1.353,
C,6,Sample X30,1.219,
C,7,Sample X31,1.325,
C,8,Sample X32,1.353,
C,9,Sample X33,1.317,
C,10,Sample X34,1.381,
C,11,Sample X35,1.338,
C,12,Sample X36,0.17,
D,1,Sample X37,0.171,
D,2,Sample X38,1.383,
D,3,Sample X39,1.403,
D,4,Sample X40,0.543,
D,5,Sample X41,1.397,
D,6,Sample X42,1.392,
D,7,Sample X43,1.39,
D,8,Sample X44,1.351,
D,9,Sample X45,1.399,
D,10,Sample X46,1.342,
D,11,Sample X47,1.38,
D,12,Sample X48,0.167,
E,1,Sample X49,0.166,
E,2,Sample X50,1.391,
E,3,Sample X51,1.353,
E,4,Sample X52,1.336,
E,5,Sample X53,1.405,
E,6,Sample X54,1.276,
E,7,Sample X55,1.35,
E,8,Sample X56,1.39,
E,9,Sample X57,1.302,
E,10,Sample X58,1.332,
E,11,Sample X59,1.387,
E,12,Sample X60,0.172,
F,1,Sample X61,0.174,
F,2,Sample X62,1.331,
F,3,Sample X63,1.345,
F,4,Sample X64,1.437,
F,5,Sample X65,1.403,
F,6,Sample X66,1.33,
F,7,Sample X67,1.41,
F,8,Sample X68,1.407,
F,9,Sample X69,1.17,
F,10,Sample X70,1.359,
F,11,Sample X71,1.391,
F,12,Sample X72,0.18,
G,1,Sample X73,0.179,
G,2,Sample X74,1.075,
G,3,Sample X75,1.198,
G,4,Sample X76,1.366,
G,5,Sample X77,1.367,
G,6,Sample X78,1.382,
G,7,Sample X79,1.324,
G,8,Sample X80,1.367,
G,9,Sample X81,1.337,
G,10,Sample X82,1.412,
G,11,Sample X83,1.399,
G,12,Sample X84,0.184,
H,1,Sample X85,0.179,
H,2,Sample X86,0.182,
H,3,Sample X87,0.174,
H,4,Sample X88,0.18,
H,5,Sample X89,0.176,
H,6,Sample X90,0.176,
H,7,Sample X91,0.178,
H,8,Sample X92,0.178,
H,9,Sample X93,0.177,
H,10,Sample X94,0.176,
H,11,Sample X95,0.179,
H,12,Sample X96,0.188,
