date,day,pmutS,volume,treatment,Well Row,Well Col,Content,OD,N,concentration
2017-08-15,1,100,1,double,B,2,Sample X14,1.323,1323e6,0.0625
2017-08-15,1,100,1,double,B,3,Sample X15,1.349,1349e6,0.0625
2017-08-15,1,100,1,double,B,4,Sample X16,1.328,1328e6,0.0625
2017-08-15,1,100,1,double,B,5,Sample X17,1.356,1356e6,0.0625
2017-08-15,1,100,1,double,B,6,Sample X18,1.308,1308e6,0.0625
2017-08-15,1,100,1,double,B,7,Sample X19,1.346,1346e6,0.0625
2017-08-15,1,100,1,double,B,8,Sample X20,1.347,1347e6,0.0625
2017-08-15,1,100,1,double,B,9,Sample X21,1.234,1234e6,0.0625
2017-08-15,1,100,1,double,B,10,Sample X22,1.298,1298e6,0.0625
2017-08-15,1,100,1,double,B,11,Sample X23,1.105,1105e6,0.0625
2017-08-15,1,100,1,double,C,2,Sample X26,1.37,137e7,0.0625
2017-08-15,1,100,1,double,C,3,Sample X27,1.307,1307e6,0.0625
2017-08-15,1,100,1,double,C,4,Sample X28,1.305,1305e6,0.0625
2017-08-15,1,100,1,double,C,5,Sample X29,1.266,1266e6,0.0625
2017-08-15,1,100,1,double,C,6,Sample X30,1.254,1254e6,0.0625
2017-08-15,1,100,1,double,C,7,Sample X31,1.262,1262e6,0.0625
2017-08-15,1,100,1,double,C,8,Sample X32,1.256,1256e6,0.0625
2017-08-15,1,100,1,double,C,9,Sample X33,1.268,1268e6,0.0625
2017-08-15,1,100,1,double,C,10,Sample X34,1.283,1283e6,0.0625
2017-08-15,1,100,1,double,C,11,Sample X35,1.407,1407e6,0.0625
2017-08-15,1,100,1,double,D,2,Sample X38,1.354,1354e6,0.0625
2017-08-15,1,100,1,double,D,3,Sample X39,1.324,1324e6,0.0625
2017-08-15,1,100,1,double,D,4,Sample X40,1.269,1269e6,0.0625
2017-08-15,1,100,1,double,D,5,Sample X41,1.262,1262e6,0.0625
2017-08-15,1,100,1,double,D,6,Sample X42,1.266,1266e6,0.0625
2017-08-15,1,100,1,double,D,7,Sample X43,1.273,1273e6,0.0625
2017-08-15,1,100,1,double,D,8,Sample X44,1.311,1311e6,0.0625
2017-08-15,1,100,1,double,D,9,Sample X45,1.325,1325e6,0.0625
2017-08-15,1,100,1,double,D,10,Sample X46,1.322,1322e6,0.0625
2017-08-15,1,100,1,double,D,11,Sample X47,1.398,1398e6,0.0625
2017-08-15,1,100,1,double,E,2,Sample X50,1.367,1367e6,0.0625
2017-08-15,1,100,1,double,E,3,Sample X51,1.355,1355e6,0.0625
2017-08-15,1,100,1,double,E,4,Sample X52,1.317,1317e6,0.0625
2017-08-15,1,100,1,double,E,5,Sample X53,1.292,1292e6,0.0625
2017-08-15,1,100,1,double,E,6,Sample X54,1.329,1329e6,0.0625
2017-08-15,1,100,1,double,E,7,Sample X55,1.327,1327e6,0.0625
2017-08-15,1,100,1,double,E,8,Sample X56,1.306,1306e6,0.0625
2017-08-15,1,100,1,double,E,9,Sample X57,1.343,1343e6,0.0625
