Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.145,
A,2,Sample X2,0.145,
A,3,Sample X3,0.139,
A,4,Sample X4,0.141,
A,5,Sample X5,0.144,
A,6,Sample X6,0.141,
A,7,Sample X7,0.139,
A,8,Sample X8,0.14,
A,9,Sample X9,0.141,
A,10,Sample X10,0.138,
A,11,Sample X11,0.139,
A,12,Sample X12,0.141,
B,1,Sample X13,0.145,
B,2,Sample X14,1.34,
B,3,Sample X15,1.366,
B,4,Sample X16,1.345,
B,5,Sample X17,1.35,
B,6,Sample X18,1.346,
B,7,Sample X19,1.302,
B,8,Sample X20,1.361,
B,9,Sample X21,1.359,
B,10,Sample X22,1.383,
B,11,Sample X23,1.357,
B,12,Sample X24,0.139,
C,1,Sample X25,0.147,
C,2,Sample X26,1.328,
C,3,Sample X27,1.294,
C,4,Sample X28,1.345,
C,5,Sample X29,1.362,
C,6,Sample X30,1.324,
C,7,Sample X31,1.326,
C,8,Sample X32,1.331,
C,9,Sample X33,1.313,
C,10,Sample X34,1.35,
C,11,Sample X35,1.343,
C,12,Sample X36,0.148,
D,1,Sample X37,0.149,
D,2,Sample X38,1.369,
D,3,Sample X39,1.337,
D,4,Sample X40,1.365,
D,5,Sample X41,1.334,
D,6,Sample X42,1.341,
D,7,Sample X43,1.336,
D,8,Sample X44,1.341,
D,9,Sample X45,1.327,
D,10,Sample X46,1.341,
D,11,Sample X47,1.355,
D,12,Sample X48,0.144,
E,1,Sample X49,0.148,
E,2,Sample X50,1.319,
E,3,Sample X51,1.323,
E,4,Sample X52,1.311,
E,5,Sample X53,1.336,
E,6,Sample X54,1.355,
E,7,Sample X55,1.307,
E,8,Sample X56,1.312,
E,9,Sample X57,1.318,
E,10,Sample X58,1.361,
E,11,Sample X59,1.352,
E,12,Sample X60,0.145,
F,1,Sample X61,0.155,
F,2,Sample X62,1.336,
F,3,Sample X63,1.334,
F,4,Sample X64,1.341,
F,5,Sample X65,1.331,
F,6,Sample X66,1.319,
F,7,Sample X67,1.307,
F,8,Sample X68,1.317,
F,9,Sample X69,1.333,
F,10,Sample X70,1.326,
F,11,Sample X71,1.349,
F,12,Sample X72,0.157,
G,1,Sample X73,0.162,
G,2,Sample X74,1.311,
G,3,Sample X75,1.372,
G,4,Sample X76,1.371,
G,5,Sample X77,1.371,
G,6,Sample X78,1.364,
G,7,Sample X79,1.327,
G,8,Sample X80,1.357,
G,9,Sample X81,1.339,
G,10,Sample X82,1.349,
G,11,Sample X83,1.341,
G,12,Sample X84,0.158,
H,1,Sample X85,0.164,
H,2,Sample X86,0.159,
H,3,Sample X87,0.156,
H,4,Sample X88,0.161,
H,5,Sample X89,0.157,
H,6,Sample X90,0.159,
H,7,Sample X91,0.157,
H,8,Sample X92,0.157,
H,9,Sample X93,0.159,
H,10,Sample X94,0.157,
H,11,Sample X95,0.158,
H,12,Sample X96,0.175,
