Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,7 h 60 min,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.034,0.034,0.035,0.035,0.035,0.033,0.034,0.035,0.03,0.033,0.034,0.035,0.035,0.032,0.033,0.035,0.036,0.035,0.033,0.033,0.035,0.034,0.034,0.032,0.034,0.035,0.034,0.036,0.032,0.034,0.033,0.034,0.033,0.034,0.034,0.037,0.031,0.033,0.035,0.036,0.033,0.033,0.034,0.035,0.036,0.033,0.034,0.036,0.033,0.034,0.038,0.035,0.035,0.035,0.036,
A,2,Sample X2,0.031,0.031,0.033,0.033,0.034,0.03,0.031,0.032,0.028,0.031,0.031,0.033,0.033,0.031,0.031,0.032,0.032,0.032,0.032,0.031,0.033,0.031,0.031,0.031,0.032,0.033,0.032,0.035,0.031,0.031,0.03,0.032,0.033,0.034,0.033,0.032,0.029,0.031,0.033,0.035,0.036,0.033,0.032,0.031,0.035,0.036,0.047,0.05,0.032,0.033,0.043,0.047,0.046,0.05,0.049,
A,3,Sample X3,0.038,0.039,0.038,0.038,0.037,0.036,0.038,0.038,0.034,0.034,0.039,0.04,0.038,0.036,0.037,0.04,0.037,0.037,0.037,0.036,0.035,0.036,0.036,0.035,0.038,0.038,0.036,0.04,0.035,0.037,0.037,0.038,0.039,0.039,0.04,0.039,0.035,0.037,0.039,0.038,0.036,0.038,0.036,0.039,0.041,0.039,0.036,0.037,0.035,0.038,0.038,0.04,0.037,0.039,0.039,
A,4,Sample X4,0.03,0.031,0.031,0.031,0.03,0.028,0.029,0.031,0.027,0.03,0.03,0.032,0.032,0.028,0.029,0.032,0.031,0.031,0.031,0.028,0.029,0.029,0.029,0.031,0.032,0.066,0.031,0.033,0.026,0.03,0.029,0.03,0.03,0.032,0.03,0.033,0.028,0.031,0.04,0.046,0.031,0.03,0.029,0.036,0.031,0.031,0.03,0.03,0.03,0.031,0.032,0.032,0.031,0.033,0.039,
A,5,Sample X5,0.034,0.033,0.034,0.033,0.032,0.029,0.03,0.033,0.027,0.031,0.031,0.033,0.028,0.029,0.029,0.029,0.031,0.03,0.031,0.027,0.03,0.029,0.028,0.029,0.031,0.032,0.03,0.031,0.027,0.03,0.028,0.03,0.029,0.032,0.032,0.03,0.028,0.03,0.03,0.03,0.03,0.03,0.029,0.03,0.03,0.03,0.029,0.03,0.03,0.032,0.032,0.03,0.031,0.033,0.031,
A,6,Sample X6,0.03,0.027,0.032,0.029,0.03,0.028,0.03,0.031,0.025,0.03,0.03,0.032,0.03,0.03,0.029,0.033,0.031,0.031,0.031,0.029,0.03,0.031,0.03,0.029,0.03,0.03,0.03,0.032,0.027,0.031,0.029,0.029,0.031,0.033,0.032,0.031,0.028,0.032,0.032,0.032,0.031,0.031,0.03,0.031,0.031,0.03,0.029,0.029,0.03,0.032,0.033,0.031,0.03,0.033,0.031,
A,7,Sample X7,0.03,0.029,0.03,0.03,0.03,0.028,0.03,0.033,0.028,0.029,0.029,0.03,0.03,0.028,0.029,0.032,0.031,0.031,0.032,0.029,0.03,0.03,0.029,0.027,0.029,0.031,0.03,0.032,0.028,0.03,0.029,0.03,0.031,0.032,0.03,0.031,0.027,0.032,0.032,0.029,0.03,0.031,0.029,0.029,0.031,0.031,0.029,0.032,0.032,0.031,0.033,0.034,0.033,0.032,0.035,
A,8,Sample X8,0.029,0.032,0.031,0.029,0.031,0.03,0.029,0.03,0.026,0.029,0.029,0.031,0.03,0.029,0.028,0.032,0.029,0.03,0.03,0.029,0.029,0.027,0.029,0.027,0.029,0.03,0.03,0.03,0.028,0.028,0.027,0.029,0.031,0.03,0.03,0.032,0.028,0.029,0.031,0.03,0.03,0.03,0.028,0.03,0.032,0.029,0.029,0.029,0.028,0.031,0.032,0.031,0.029,0.03,0.032,
A,9,Sample X9,0.03,0.028,0.029,0.03,0.029,0.026,0.032,0.029,0.025,0.029,0.03,0.031,0.03,0.028,0.029,0.031,0.03,0.03,0.029,0.027,0.029,0.029,0.029,0.027,0.029,0.031,0.029,0.031,0.026,0.028,0.029,0.032,0.03,0.031,0.029,0.029,0.028,0.032,0.031,0.031,0.03,0.03,0.029,0.029,0.031,0.031,0.03,0.029,0.027,0.033,0.03,0.03,0.029,0.031,0.03,
