Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,10 h ,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.038,0.04,0.043,0.042,0.042,0.042,0.042,0.041,0.044,0.042,0.038,0.043,0.042,0.041,0.043,0.038,0.042,0.04,0.038,0.042,0.04,0.04,0.038,0.038,0.04,0.037,0.04,0.039,0.041,0.038,0.041,0.04,0.043,0.039,0.041,0.042,0.041,0.039,0.041,0.041,0.043,0.042,0.043,0.042,0.042,0.041,0.043,0.044,0.049,0.045,0.045,0.042,0.043,0.044,0.045,
A,2,Sample X2,0.038,0.04,0.038,0.039,0.04,0.043,0.043,0.041,0.044,0.041,0.037,0.042,0.043,0.042,0.04,0.042,0.04,0.038,0.039,0.041,0.04,0.038,0.038,0.042,0.039,0.037,0.039,0.04,0.042,0.038,0.041,0.039,0.043,0.039,0.042,0.043,0.041,0.04,0.041,0.042,0.043,0.041,0.044,0.044,0.041,0.045,0.046,0.044,0.047,0.046,0.045,0.044,0.045,0.045,0.047,
A,3,Sample X3,0.04,0.04,0.041,0.042,0.041,0.044,0.043,0.043,0.041,0.042,0.037,0.042,0.043,0.039,0.041,0.04,0.04,0.04,0.04,0.041,0.042,0.042,0.042,0.046,0.041,0.042,0.042,0.043,0.042,0.04,0.044,0.04,0.047,0.041,0.043,0.049,0.044,0.044,0.045,0.044,0.045,0.045,0.048,0.047,0.045,0.05,0.052,0.05,0.056,0.053,0.049,0.047,0.05,0.047,0.047,
A,4,Sample X4,0.039,0.039,0.041,0.04,0.04,0.041,0.04,0.042,0.044,0.038,0.038,0.045,0.041,0.04,0.041,0.04,0.038,0.041,0.04,0.039,0.039,0.039,0.038,0.041,0.04,0.041,0.041,0.041,0.044,0.041,0.042,0.042,0.045,0.042,0.046,0.048,0.049,0.05,0.048,0.05,0.054,0.05,0.053,0.053,0.053,0.051,0.055,0.054,0.049,0.059,0.056,0.061,0.058,0.063,0.058,
A,5,Sample X5,0.039,0.039,0.041,0.041,0.04,0.04,0.041,0.04,0.043,0.041,0.038,0.04,0.043,0.041,0.042,0.04,0.038,0.038,0.04,0.041,0.041,0.041,0.038,0.041,0.041,0.039,0.04,0.042,0.041,0.041,0.043,0.041,0.045,0.045,0.048,0.05,0.055,0.053,0.046,0.046,0.044,0.042,0.052,0.052,0.045,0.043,0.05,0.05,0.056,0.062,0.061,0.058,0.065,0.06,0.065,
A,6,Sample X6,0.048,0.046,0.048,0.048,0.047,0.047,0.047,0.049,0.046,0.047,0.042,0.048,0.049,0.046,0.048,0.047,0.044,0.046,0.049,0.044,0.047,0.045,0.045,0.045,0.044,0.046,0.047,0.047,0.046,0.047,0.049,0.049,0.05,0.045,0.048,0.052,0.047,0.046,0.049,0.048,0.051,0.052,0.049,0.052,0.049,0.051,0.054,0.055,0.059,0.058,0.056,0.055,0.06,0.065,0.066,
A,7,Sample X7,0.038,0.037,0.041,0.04,0.04,0.042,0.04,0.04,0.039,0.04,0.037,0.042,0.041,0.039,0.04,0.039,0.039,0.039,0.038,0.042,0.041,0.038,0.037,0.039,0.041,0.039,0.04,0.039,0.041,0.039,0.041,0.041,0.044,0.039,0.041,0.044,0.044,0.041,0.045,0.046,0.043,0.043,0.045,0.046,0.044,0.043,0.047,0.051,0.053,0.049,0.046,0.045,0.048,0.055,0.056,
A,8,Sample X8,0.038,0.036,0.042,0.04,0.043,0.039,0.041,0.042,0.038,0.039,0.038,0.041,0.038,0.039,0.042,0.038,0.038,0.038,0.039,0.039,0.039,0.038,0.038,0.039,0.038,0.038,0.039,0.038,0.04,0.04,0.04,0.04,0.042,0.039,0.038,0.045,0.04,0.042,0.043,0.043,0.051,0.052,0.052,0.053,0.05,0.051,0.054,0.054,0.049,0.055,0.052,0.051,0.05,0.055,0.051,
A,9,Sample X9,0.036,0.038,0.04,0.039,0.039,0.04,0.041,0.04,0.04,0.038,0.036,0.04,0.041,0.04,0.038,0.04,0.038,0.038,0.038,0.04,0.041,0.039,0.036,0.04,0.039,0.038,0.038,0.038,0.04,0.039,0.04,0.038,0.042,0.039,0.039,0.041,0.042,0.04,0.042,0.041,0.047,0.042,0.049,0.051,0.05,0.049,0.053,0.05,0.133,0.061,0.058,0.056,0.055,0.057,0.056,
