strain,id,day,antibiotic,concentration,OD
BW25113,1,1,none,0,1.475
BW25113,2,1,none,0,1.46
BW25113,3,1,none,0,1.476
BW25113,4,1,none,0,1.434
BW25113,5,1,none,0,1.481
BW25113,6,1,none,0,1.482
BW25113,7,1,none,0,1.5
BW25113,8,1,none,0,1.462
BW25113,9,1,none,0,1.477
BW25113,10,1,none,0,1.494
BW25113,11,1,none,0,1.507
BW25113,12,1,none,0,1.482
BW25113,13,1,none,0,1.526
BW25113,14,1,none,0,1.526
BW25113,15,1,none,0,1.514
BW25113,1,2,none,0.0625,1.442
BW25113,2,2,none,0.0625,1.441
BW25113,3,2,none,0.0625,1.456
BW25113,4,2,none,0.0625,1.436
BW25113,5,2,none,0.0625,1.417
BW25113,6,2,none,0.0625,1.45
BW25113,7,2,none,0.0625,1.431
BW25113,8,2,none,0.0625,1.367
BW25113,9,2,none,0.0625,1.355
BW25113,10,2,none,0.0625,1.391
BW25113,11,2,none,0.0625,1.508
BW25113,12,2,none,0.0625,1.475
BW25113,13,2,none,0.0625,1.485
BW25113,14,2,none,0.0625,1.518
BW25113,15,2,none,0.0625,1.441
BW25113,1,3,none,0.125,1.517
BW25113,2,3,none,0.125,1.57
BW25113,3,3,none,0.125,1.611
BW25113,4,3,none,0.125,1.612
BW25113,5,3,none,0.125,1.668
BW25113,6,3,none,0.125,1.625
BW25113,7,3,none,0.125,1.495
BW25113,8,3,none,0.125,1.605
BW25113,9,3,none,0.125,1.698
BW25113,10,3,none,0.125,1.664
BW25113,11,3,none,0.125,1.746
BW25113,12,3,none,0.125,1.79
BW25113,13,3,none,0.125,1.858
BW25113,14,3,none,0.125,1.736
BW25113,15,3,none,0.125,1.651
BW25113,1,4,none,0.25,1.456
BW25113,2,4,none,0.25,1.52
BW25113,3,4,none,0.25,1.438
BW25113,4,4,none,0.25,1.429
BW25113,5,4,none,0.25,1.544
BW25113,6,4,none,0.25,1.512
BW25113,7,4,none,0.25,1.478
BW25113,8,4,none,0.25,1.518
BW25113,9,4,none,0.25,1.544
BW25113,10,4,none,0.25,1.445
BW25113,11,4,none,0.25,1.555
BW25113,12,4,none,0.25,1.534
BW25113,13,4,none,0.25,1.514
BW25113,14,4,none,0.25,1.588
BW25113,15,4,none,0.25,1.395
BW25113,1,5,none,0.5,1.544
BW25113,2,5,none,0.5,1.533
BW25113,3,5,none,0.5,1.556
BW25113,4,5,none,0.5,1.571
BW25113,5,5,none,0.5,1.546
BW25113,6,5,none,0.5,1.631
BW25113,7,5,none,0.5,1.614
BW25113,8,5,none,0.5,1.532
BW25113,9,5,none,0.5,1.662
BW25113,10,5,none,0.5,1.591
BW25113,11,5,none,0.5,1.79
BW25113,12,5,none,0.5,1.702
BW25113,13,5,none,0.5,1.726
BW25113,14,5,none,0.5,1.719
BW25113,15,5,none,0.5,1.643
BW25113,1,6,none,1,1.505
BW25113,2,6,none,1,1.595
BW25113,3,6,none,1,1.601
BW25113,4,6,none,1,1.502
BW25113,5,6,none,1,1.513
BW25113,6,6,none,1,1.541
BW25113,7,6,none,1,1.563
BW25113,8,6,none,1,1.55
BW25113,9,6,none,1,1.542
BW25113,10,6,none,1,1.487
BW25113,11,6,none,1,1.617
BW25113,12,6,none,1,1.62
