antibiotic,day,strain,parameter,mean,lower,upper
none,1,S,k1,0.425338,0.411325,0.439352
none,1,S,k2,1.00005,0.978928,1.02117
none,1,S,r1,0.947878,0.867369,1.02839
none,1,S,r2,0.164112,0.154033,0.174191
none,1,A,k1,0.397273,0.346959,0.447587
none,1,A,k2,1.15701,1.08235,1.23167
none,1,A,r1,1.17397,0.968733,1.37921
none,1,A,r2,0.0989931,0.0904758,0.10751
none,1,B,k1,0.428896,0.375991,0.481801
none,1,B,k2,1.02872,0.971823,1.08562
none,1,B,r1,1.15187,0.951472,1.35227
none,1,B,r2,0.109296,0.0981476,0.120445
none,1,D,k1,0.405555,0.395608,0.415502
none,1,D,k2,0.833095,0.802835,0.863354
none,1,D,r1,0.958463,0.893773,1.02315
none,1,D,r2,0.127234,0.1152,0.139268
none,2,S,k1,0.425338,0.411325,0.439352
none,2,S,k2,1.00005,0.978928,1.02117
none,2,S,r1,0.947878,0.867369,1.02839
none,2,S,r2,0.164112,0.154033,0.174191
none,2,A,k1,0.397273,0.346959,0.447587
none,2,A,k2,1.15701,1.08235,1.23167
none,2,A,r1,1.17397,0.968733,1.37921
none,2,A,r2,0.0989931,0.0904758,0.10751
none,2,B,k1,0.428896,0.375991,0.481801
none,2,B,k2,1.02872,0.971823,1.08562
none,2,B,r1,1.15187,0.951472,1.35227
none,2,B,r2,0.109296,0.0981476,0.120445
none,2,D,k1,0.405555,0.395608,0.415502
none,2,D,k2,0.833095,0.802835,0.863354
none,2,D,r1,0.958463,0.893773,1.02315
none,2,D,r2,0.127234,0.1152,0.139268
none,3,S,k1,0.425338,0.411325,0.439352
none,3,S,k2,1.00005,0.978928,1.02117
none,3,S,r1,0.947878,0.867369,1.02839
none,3,S,r2,0.164112,0.154033,0.174191
none,3,A,k1,0.397273,0.346959,0.447587
none,3,A,k2,1.15701,1.08235,1.23167
none,3,A,r1,1.17397,0.968733,1.37921
none,3,A,r2,0.0989931,0.0904758,0.10751
none,3,B,k1,0.428896,0.375991,0.481801
none,3,B,k2,1.02872,0.971823,1.08562
none,3,B,r1,1.15187,0.951472,1.35227
none,3,B,r2,0.109296,0.0981476,0.120445
none,3,D,k1,0.405555,0.395608,0.415502
none,3,D,k2,0.833095,0.802835,0.863354
none,3,D,r1,0.958463,0.893773,1.02315
none,3,D,r2,0.127234,0.1152,0.139268
none,4,S,k1,0.425338,0.411325,0.439352
none,4,S,k2,1.00005,0.978928,1.02117
none,4,S,r1,0.947878,0.867369,1.02839
none,4,S,r2,0.164112,0.154033,0.174191
none,4,A,k1,0.397273,0.346959,0.447587
none,4,A,k2,1.15701,1.08235,1.23167
none,4,A,r1,1.17397,0.968733,1.37921
none,4,A,r2,0.0989931,0.0904758,0.10751
none,4,B,k1,0.428896,0.375991,0.481801
none,4,B,k2,1.02872,0.971823,1.08562
none,4,B,r1,1.15187,0.951472,1.35227
none,4,B,r2,0.109296,0.0981476,0.120445
none,4,D,k1,0.405555,0.395608,0.415502
none,4,D,k2,0.833095,0.802835,0.863354
none,4,D,r1,0.958463,0.893773,1.02315
none,4,D,r2,0.127234,0.1152,0.139268
none,5,S,k1,0.425338,0.411325,0.439352
none,5,S,k2,1.00005,0.978928,1.02117
none,5,S,r1,0.947878,0.867369,1.02839
none,5,S,r2,0.164112,0.154033,0.174191
none,5,A,k1,0.397273,0.346959,0.447587
none,5,A,k2,1.15701,1.08235,1.23167
none,5,A,r1,1.17397,0.968733,1.37921
none,5,A,r2,0.0989931,0.0904758,0.10751
none,5,B,k1,0.428896,0.375991,0.481801
none,5,B,k2,1.02872,0.971823,1.08562
none,5,B,r1,1.15187,0.951472,1.35227
none,5,B,r2,0.109296,0.0981476,0.120445
none,5,D,k1,0.405555,0.395608,0.415502
none,5,D,k2,0.833095,0.802835,0.863354
none,5,D,r1,0.958463,0.893773,1.02315
none,5,D,r2,0.127234,0.1152,0.139268
none,6,S,k1,0.425338,0.411325,0.439352
none,6,S,k2,1.00005,0.978928,1.02117
none,6,S,r1,0.947878,0.867369,1.02839
none,6,S,r2,0.164112,0.154033,0.174191
none,6,A,k1,0.397273,0.346959,0.447587
none,6,A,k2,1.15701,1.08235,1.23167
none,6,A,r1,1.17397,0.968733,1.37921
none,6,A,r2,0.0989931,0.0904758,0.10751
none,6,B,k1,0.428896,0.375991,0.481801
none,6,B,k2,1.02872,0.971823,1.08562
none,6,B,r1,1.15187,0.951472,1.35227
none,6,B,r2,0.109296,0.0981476,0.120445
