treatment,day,kA1,kA2,kB1,kB2,kD1,kD2,kS1,kS2,n0A,n0B,n0D,n0S,rA1,rA2,rB1,rB2,rD1,rD2,rS1,rS2
combination,1,0.39907,0.914482,0.374991,0.698327,0.378862,0.851363,0.364842,0.709612,0.394726,0.34323,0.34467,0.320331,0.991571,0.110596,1.13964,0.189711,1.03182,0.123548,1.0871,0.199946
combination,2,0.300167,0.791189,0.336533,0.456723,0.365759,0.819325,0.291848,0.313283,0.263465,0.302008,0.348903,0.212147,0.75898,0.0990149,1.0619,0.317303,0.981117,0.119622,0.701303,0.426269
combination,3,0.05,0.359507,0.203518,0.267444,0.381847,0.883465,0.0346329,0.0170858,0.05,0.195306,0.350706,0.0324154,0.952536,0.231384,0.890059,0.208068,0.949267,0.103237,0.43237,0.133826
combination,4,0.0616114,0.0194155,0.130177,0.0129909,0.384839,0.875531,0.0145703,0.00536607,0.05819,0.0271769,0.358578,0.0135914,1.50167,0.103079,0.306622,0.0252426,0.917015,0.105881,0.199047,0.0476244
combination,5,0.0306708,0.00780248,0.0521153,0.010491,0.365874,0.875381,0.00370989,0.00211342,0.0283333,0.02456,0.342512,0.00348884,1.58623,0.0520849,0.201779,0.0378595,0.968774,0.101424,0.10468,0.0415223
combination,6,0.0152352,0.0127565,0.0254585,0.0267682,0.348358,0.842369,0.0149066,0.00169769,0.0139264,0.00504984,0.323996,0.00392638,1.29138,0.0282379,0.082978,0.0946576,0.950778,0.0845605,0.203031,0.0482979
nalidixic acid,1,0.402715,0.959691,0.387546,0.973445,0.376097,0.829342,0.399527,0.937229,0.400145,0.3589,0.351017,0.385273,1.0203,0.11212,1.0632,0.124669,0.958576,0.115087,1.04436,0.143468
nalidixic acid,2,0.346634,0.852497,0.402417,0.983478,0.367056,0.831784,0.362044,0.894458,0.323827,0.36537,0.340271,0.323208,0.925425,0.100114,1.07299,0.119817,0.990516,0.121795,0.691218,0.110424
nalidixic acid,3,0.0831306,0.778597,0.398977,0.992572,0.388202,0.87094,0.0999813,0.0418957,0.0825614,0.374533,0.362225,0.0785772,1.72227,0.123658,1.05335,0.110569,0.909677,0.104766,2.20938,0.252918
nalidixic acid,4,0.0959324,0.0300331,0.430679,1.07145,0.393713,0.896599,0.0973721,0.0125114,0.0951105,0.398353,0.370811,0.0910458,1.59063,0.0513777,1.0266,0.0964704,1.03515,0.103146,1.91839,0.0608817
nalidixic acid,5,0.077944,0.016135,0.453037,1.11412,0.404768,0.878548,0.0644205,0.0118991,0.0730399,0.408899,0.399544,0.057602,1.51271,0.0323022,1.01428,0.0887895,1.04314,0.103496,1.40133,0.0582447
nalidixic acid,6,0.0390978,0.00509696,0.438773,1.18826,0.389642,0.919682,0.0344971,0.00528154,0.038087,0.411045,0.360302,0.0330212,1.21941,0.0108681,1.07561,0.068764,0.972589,0.0850561,1.52561,0.0199761
none,1,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
none,2,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
none,3,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
none,4,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
none,5,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
none,6,0.397273,1.15701,0.428896,1.02872,0.405555,0.833095,0.425338,1.00005,0.367204,0.394944,0.398312,0.414548,1.17397,0.0989931,1.15187,0.109296,0.958463,0.127234,0.947878,0.164112
rifampicin,1,0.365385,1.02205,0.375063,0.640184,0.387929,0.84215,0.350036,0.763288,0.338531,0.36997,0.371771,0.310404,1.04302,0.116856,0.970675,0.292025,0.902833,0.115857,1.09386,0.210714
rifampicin,2,0.370709,1.02522,0.293331,0.453145,0.402572,0.847645,0.287164,0.568348,0.361849,0.227325,0.391048,0.271138,1.05692,0.11622,1.09388,0.333938,0.86586,0.124027,1.10515,0.263604
rifampicin,3,0.374061,1.00034,0.200545,0.255948,0.390664,0.880132,0.186229,0.261258,0.367727,0.103819,0.373146,0.167604,0.982233,0.116832,1.06335,0.482605,0.900669,0.117007,0.948798,0.365733
rifampicin,4,0.390581,0.990046,0.0403604,0.249437,0.398351,0.884335,0.0267459,0.277894,0.386064,0.0403545,0.393056,0.0267403,0.937679,0.1122,0.807273,0.41124,0.921836,0.11649,0.840779,0.403584
rifampicin,5,0.372689,0.848618,0.0991653,0.045579,0.397357,0.922303,0.0989027,0.0118155,0.367347,0.00895183,0.391087,0.0192523,0.9213,0.110723,0.0834154,0.404481,0.937193,0.100619,0.192899,0.208367
rifampicin,6,0.345292,0.787809,0.0113722,0.229171,0.39285,0.88662,0.00426952,0.0126384,0.336533,0.0106933,0.384623,0.00222707,0.923569,0.103764,0.213797,0.19469,0.950243,0.106703,0.373088,0.0783664
